what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118356755
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118368405
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118372553
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118379053
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419118379068
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1419118388529
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1419118391536
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118397702
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118398452
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1419118399988
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118401754
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118402863
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1419118402910
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1419118402941
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118403341
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118409185
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1419118409185
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118414582
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118417264
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118421660
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118422840
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118423934
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118425230
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118426854
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118428102
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118433956
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118448611
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419118448642
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419118457427
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419118459982
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419118465083
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1419118503225
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1419118503655
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1419118504173
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1419118507525
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118517302
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118518163
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118519558
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118520706
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1419118520753
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1419118520784
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118521206
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118524578
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1419118524594
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118528374
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118529348
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118532812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118550118
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419118550133
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1419118904536
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1419118910341
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118913013
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118913794
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118914692
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118916277
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1419118916324
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1419118916355
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118916777
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118922158
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1419118922174
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118930598
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118942390
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118947910
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118948035
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1419118948113
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1419118948175
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118956070
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118961846
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419118961861
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118987722
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118988449
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118989766
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118990406
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1419118990437
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1419118990469
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118990885
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419118995462
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1419118995478
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119000131
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119006425
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1419119009848
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1419119009989
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119013449
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119014002
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1419119014276
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119015432
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119021878
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119026607
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119033411
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1419119033489
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419119034099
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1419119034099
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119044757
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119044866
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119046362
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119047206
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1419119047253
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1419119047284
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119047690
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119053133
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1419119053164
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119060786
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119065719
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119070389
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119090852
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419119090867
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419119171449
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419119184547
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119362831
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119363528
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119364427
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119365368
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1419119365415
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1419119365446
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119365852
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119371604
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1419119371619
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119377111
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119378332
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119379370
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119380855
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119382813
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119383795
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119389926
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419119397049
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419119397065
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1419119432717
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1419119437295
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1419119438598
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1419119438817
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1419119439255
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1419119448309
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1419119455567
